entry	scowlSize	tags	partOfSpeech	posClass	sourceLineNumber	scowlInfo
OEM	80	ucacr	unclassified	abbr?	263622	80 [ucacr]
OEO	70	moby	unclassified	abbr?	263648	70 [moby]
OF	70	moby	unclassified	abbr?	263664	70 [moby]
off	85	ukacd	abbr		263688	85 [ukacd]
off.	70	moby	abbr		263684	70 [moby]
OG	80	ucacr	unclassified	abbr?	264045	80 [ucacr]
oj	80	lcacr	abbr		264347	80 [lcacr]
OJ	60		unclassified	abbr?	264345	60
ojs	80	lcacr	abbr		264361	80 [lcacr]
OK	85	ukacd	abbr		264378	85 [ukacd]
Old Test.	80	moby	abbr		264702	80 [moby]
Om.	80	moby	abbr		265119	80 [moby]
ON	60		unclassified	abbr?	265413	60
Ont.	60		abbr		265942	60
OP	70	moby	unclassified	abbr?	266234	70 [moby]
op.	70	3of6	unclassified	abbr?	266232	70 [3of6]
op.	80	moby	abbr		266236	80 [moby]
op. cit.	50		abbr		266300	50
opp	60		abbr		266825	60
opp.	60		abbr		266824	60
opt	85	ukacd	abbr		266986	85 [ukacd]
orch.	80	moby	abbr		267397	80 [moby]
ord	85	ukacd	abbr		267505	85 [ukacd]
ord.	80	moby	abbr		267499	80 [moby]
ordn.	80	moby	abbr		267617	80 [moby]
Oreg.	60		abbr		267667	60
org	60		abbr		267737	60
org.	80	moby	abbr		267739	80 [moby]
orig	60		abbr		268032	60
orig.	60		abbr		268031	60
ornithol.	80	moby	abbr		268236	80 [moby]
Orth.	80	moby	abbr		268466	80 [moby]
OT	50		unclassified	abbr?	269361	50
OTB	60		unclassified	abbr?	269380	60
OTC	60		unclassified	abbr?	269382	60
OTEC	80	upper	unclassified	abbr?	269386	80 [upper]
OTOH	50	extra	abbr		269467	50 [extra]
OTT	70	3of6	unclassified	abbr?	269517	70 [3of6]
oz	60		abbr		273658	60
oz.	40		n	abbr?	273653	40
oz. ap.	80	moby	abbr		273669	80 [moby]
oz. av.	80	moby	abbr		273681	80 [moby]
p	40		abbr		273746	40
p.	40		abbr		273745	40
P.	80	moby	abbr		273754	80 [moby]
P. and L.	60		abbr		275796	60
p. and p.	70	3of6	unclassified	abbr?	275813	70 [3of6]
p.a.	60		av	abbr?	273762	60
P.B.	80	moby	abbr		280436	80 [moby]
p.c.	80	moby	abbr		280452	80 [moby]
P.C.	60		abbr		280448	60
p.d.	80	moby	abbr		280474	80 [moby]
P.D.	60		abbr		280472	60
P.E.I.	60		abbr		281560	60
P.G.	80	moby	abbr		285752	80 [moby]
P.I.	80	moby	abbr		288556	80 [moby]
p.m.	50		aj	abbr?	293727	50
P.M.G.	80	moby	abbr		293743	80 [moby]
P.O.D.	80	moby	abbr		294010	80 [moby]
P.O.W.	60		abbr		298796	60
p.p.	60		abbr		299036	60
P.P.	60		abbr		299040	60
P.P.S.	60		abbr		299059	60
p.q.	80	moby	abbr		299063	80 [moby]
P.R.	80	moby	abbr		299074	80 [moby]
p.r.n.	80	moby	abbr		303431	80 [moby]
P.S.	40		abbr		306707	40
p.t.	70	moby	abbr		307488	70 [moby]
P.T.	80	moby	abbr		307492	80 [moby]
P.T.O.	80	moby	abbr		307597	80 [moby]
p.w.	70	3of6	unclassified	abbr?	309677	70 [3of6]
P.W.D.	80	moby	abbr		309681	80 [moby]
Pal.	80	moby	abbr		274593	80 [moby]
palaeontol.	80	moby	abbr		274628	80 [moby]
pam	85	ukacd	abbr		275522	85 [ukacd]
pam.	80	moby	abbr		275520	80 [moby]
Pan.	70	moby	abbr		275589	70 [moby]
par	50		abbr		276743	50
par.	50		abbr		276742	50
para	85	ukacd	abbr		276759	85 [ukacd]
para.	70	3of6	unclassified	abbr?	276755	70 [3of6]
PARC	50		n	abbr?	277624	50 hacker
Parl.	80	moby	abbr		278094	80 [moby]
parl. proc.	80	moby	abbr		278160	80 [moby]
part	85	ukacd	abbr		278506	85 [ukacd]
part.	70	moby	abbr		278504	70 [moby]
PASCAL	60		unclassified	abbr?	278872	60
pass.	70	moby	abbr		278973	70 [moby]
pat	50		abbr		279409	50
pat.	50		abbr		279408	50
pat. pend.	50		abbr		279720	50
path	85	ukacd	abbr		279581	85 [ukacd]
pathol.	80	moby	abbr		279633	80 [moby]
payt.	80	moby	abbr		280411	80 [moby]
PBB	80	ucacr	unclassified	abbr?	280438	80 [ucacr]
PBJ	80	ucacr	unclassified	abbr?	280440	80 [ucacr]
PBX	60		unclassified	abbr?	280444	60
pc.	70	moby	abbr		280450	70 [moby]
pcm	70	3of6	abbr		280456	70 [3of6]
PCMCIA	50	extra	abbr		280458	50 [extra]
pct	50		abbr		280463	50
pct.	50		abbr		280462	50
pd	50		abbr		280468	50
PD	50		unclassified	abbr?	280476	50 hacker 60
pd.	50		abbr		280467	50
PDF	50	extra	abbr		280480	50 [extra]
pdq	80	lcacr	abbr		280486	80 [lcacr]
PDQ	50		unclassified	abbr?	280484	50
PDT	60		unclassified	abbr?	280488	60
PE	40		unclassified	abbr?	280490	40
ped.	80	moby	abbr		281031	80 [moby]
pen	85	ukacd	abbr		281918	85 [ukacd]
Pen.	60		abbr		281916	60
Penn	50		abbr		282229	50
Penn.	50		abbr		282228	50
Penna.	60		abbr		282233	60
per	85	ukacd	abbr		283004	85 [ukacd]
per pro.	80	moby	abbr		284439	80 [moby]
per.	70	moby	abbr		283000	70 [moby]
pert	85	ukacd	abbr		284868	85 [ukacd]
pert.	70	moby	abbr		284864	70 [moby]
Pet.	80	moby	abbr		285184	80 [moby]
petrog.	80	moby	abbr		285450	80 [moby]
petrol.	80	moby	abbr		285479	80 [moby]
pf	60		abbr		285719	60
pf.	60		abbr		285718	60
Pfc.	60		abbr		285723	60
pg	50		abbr		285746	50
PG	40		unclassified	abbr?	285743	40
pg.	50		abbr		285745	50
Pg.	80	moby	abbr		285750	80 [moby]
PGA	70	moby	unclassified	abbr?	285756	70 [moby]
PGP	50	extra	abbr		285760	50 [extra]
Phil	85	ukacd	abbr		286444	85 [ukacd]
phil.	80	moby	abbr		286440	80 [moby]
Phil.	80	moby	abbr		286442	80 [moby]
Philem.	80	moby	abbr		286499	80 [moby]
philol.	80	moby	abbr		286661	80 [moby]
philos.	80	moby	abbr		286706	80 [moby]
phon	85	ukacd	abbr		286955	85 [ukacd]
phon.	80	moby	abbr		286951	80 [moby]
phonol.	80	moby	abbr		287133	80 [moby]
phot.	80	moby	abbr		287341	80 [moby]
photom.	80	moby	abbr		287649	80 [moby]
phr.	70	moby	abbr		287961	70 [moby]
phren.	80	moby	abbr		288031	80 [moby]
phys	60		abbr		288238	60
phys.	60		abbr		288237	60
phys. ed.	60		abbr		288246	60
pizz.	80	moby	abbr		291282	80 [moby]
pk	60		abbr		291323	60
PK	80	ucacr	unclassified	abbr?	291327	80 [ucacr]
pk.	60		abbr		291325	60
pkg	50		abbr		291330	50
pkg.	50		abbr		291329	50
pkt	60		abbr		291334	60
pkt.	80	moby	abbr		291336	80 [moby]
pkwy	60		abbr		291341	60
pkwy.	60		abbr		291340	60
Pkwy.	40		abbr		291338	40
pl	50		abbr		291346	50
pl.	50		abbr		291345	50
Pl.	40		abbr		291343	40
plat.	80	moby	abbr		292141	80 [moby]
plc	70	3of6	abbr		292566	70 [3of6]
PLC	70	3of6	unclassified	abbr?	292568	70 [3of6]
plur.	80	moby	abbr		293537	80 [moby]
pm	60		abbr		293731	60
pm.	80	moby	abbr		293735	80 [moby]
PMT	70	3of6	unclassified	abbr?	293747	70 [3of6]
poet.	70	moby	abbr		294142	70 [moby]
pol.	80	moby	abbr		294508	80 [moby]
Pol.	60		abbr		294506	60
polit.	80	moby	abbr		294787	80 [moby]
pop	50		abbr		296448	50
pop.	50		abbr		296447	50
Port.	60		abbr		296920	60
pos	85	ukacd	abbr		297222	85 [ukacd]
pos.	70	moby	abbr		297220	70 [moby]
poss	50		abbr		297337	50
poss.	50		abbr		297336	50
POSSLQ	80	upper	n	abbr?	297410	80 [upper]
pot.	80	moby	abbr		298214	80 [moby]
pp	40		abbr		299034	40
PP	60		unclassified	abbr?	299038	60
pp.	40		abbr		299033	40
ppd.	70	moby	abbr		299048	70 [moby]
ppm	60		abbr		299050	60
PPO	70	3of6 ucacr	n	abbr?	299052	70 [3of6] 80 [ucacr]
ppr.	60		abbr		299055	60
PPS	60		unclassified	abbr?	299057	60
PPV	70	3of6	unclassified	abbr?	299061	70 [3of6]
pr	60		abbr		299068	60
pr.	60		abbr		299067	60
Pr.	60		abbr		299072	60
pred.	70	moby	abbr		300090	70 [moby]
pref	60		abbr		300491	60
pref.	60		abbr		300490	60
prelim.	80	moby	abbr		300854	80 [moby]
prem.	80	moby	abbr		300907	80 [moby]
prep	50		abbr		301223	50
prep.	50		abbr		301222	50
pres	50		abbr		301528	50
pres.	50		abbr		301527	50
Pres.	50		abbr		301530	50
Presb.	80	moby	abbr		301554	80 [moby]
pret.	80	moby	abbr		302161	80 [moby]
prev	85	ukacd	abbr		284985	85 [ukacd]
prim.	80	moby	abbr		302714	80 [moby]
priv.	80	moby	abbr		303247	80 [moby]
PRO	60		unclassified	abbr?	303439	60
prob	60		abbr		303462	60
prob.	60		abbr		303461	60
Proc	80		abbr		303580	80
proc.	80	moby	abbr		303578	80 [moby]
prod	85	ukacd	abbr		303887	85 [ukacd]
prod.	80	moby	abbr		303883	80 [moby]
Prof.	40		abbr		303994	40
prog	70	moby ukacd	abbr		304198	70 [moby] 85 [ukacd]
prog.	80	moby	abbr		304200	80 [moby]
Prog.	80	moby	abbr		304202	80 [moby]
PROM	80	upper	unclassified	abbr?	304618	80 [upper]
prom.	80	moby	abbr		304616	80 [moby]
pron	50		abbr		304777	50
pron.	50		abbr		304776	50
prop	60		abbr		304917	60
prop.	60		abbr		304916	60
propr.	80	moby	abbr		305222	80 [moby]
pros.	80	moby	abbr		305336	80 [moby]
Prot.	70	moby	abbr		305641	70 [moby]
prov.	60		abbr		306222	60
Prov.	80	moby	abbr		306224	80 [moby]
prox.	80	moby	abbr		306495	80 [moby]
prs.	80	moby	abbr		306534	80 [moby]
Prus.	80	moby	abbr		306631	80 [moby]
ps.	80	moby	abbr		306719	80 [moby]
Ps.	80	moby	abbr		306723	80 [moby]
pseud	85	ukacd	abbr		306818	85 [ukacd]
pseud.	70	moby	abbr		306816	70 [moby]
psych	50		abbr		307090	50
psych.	50		abbr		307089	50
psychoanal.	80	moby	abbr		307158	80 [moby]
psychol.	80	moby	abbr		307256	80 [moby]
pt	40		abbr		307478	40
PT	60		unclassified	abbr?	307484	60
pt.	40		abbr		307477	40
Pt.	60		abbr		307482	60
PTC	80	ucacr	unclassified	abbr?	307502	80 [ucacr]
PTCA	80	ucacr	unclassified	abbr?	307504	80 [ucacr]
ptg.	80	moby	abbr		307589	80 [moby]
pts.	80	moby	abbr		307628	80 [moby]
pub.	60		abbr		307652	60
publ.	80	moby	abbr		307680	80 [moby]
pvt	60		abbr		309669	60
pvt.	60		abbr		309668	60
Pvt.	60		abbr		309671	60
PW	60		unclassified	abbr?	309675	60
PWA	80	ucacr	unclassified	abbr?	309679	80 [ucacr]
pwt.	80	moby	abbr		309685	80 [moby]
q.	60		abbr		310378	60
Q.	80	moby	abbr		310384	80 [moby]
Q.C.	80	moby	abbr		310447	80 [moby]
q.e.	80	moby	abbr		310451	80 [moby]
Q.E.D.	60		abbr		310455	60
Q.E.F.	80	moby	abbr		310459	80 [moby]
Q.F.	80	moby	abbr		310465	80 [moby]
q.t.	50		abbr		310519	50
Q.T.	60		abbr		310521	60
q.v.	50		abbr		312510	50
QA	50	extra	abbr		310386	50 [extra]
QB	60		unclassified	abbr?	310443	60
ql.	80	moby	abbr		310491	80 [moby]
QM	60		unclassified	abbr?	310493	60
Qq.	80	moby	abbr		310502	80 [moby]
qr	60		abbr		310504	60
qr.	80	moby	abbr		310506	80 [moby]
qt	40		abbr		310517	40
qt.	40		abbr		310516	40
qto.	80	moby	abbr		310531	80 [moby]
qts.	60		abbr		310533	60
qty	60		abbr		310536	60
qty.	60		abbr		310535	60
qu.	80	moby	abbr		310538	80 [moby]
quad	85	ukacd	abbr		310579	85 [ukacd]
quad.	80	moby	abbr		310575	80 [moby]
quart.	80	moby	abbr		311150	80 [moby]
Que.	60		abbr		311388	60
ques.	80	moby	abbr		311637	80 [moby]
quot	60		abbr		312438	60
quot.	60		abbr		312437	60
QWERTY	50	3of6 ukacd upper	unclassified	abbr?	312518	50 hacker 70 [3of6] 80 [upper] 85 [ukacd]
r.	60		abbr		312524	60
R.	60		abbr		312526	60
R.A.	80	moby	abbr		312538	80 [moby]
R.A.A.F.	80	moby	abbr		312540	80 [moby]
R.A.M.	80	moby	abbr		313987	80 [moby]
R.C.A.F.	80	moby	abbr		315644	80 [moby]
R.C.Ch.	60		abbr		315646	60
R.C.M.P.	80	moby	abbr		315652	80 [moby]
R.C.P.	80	moby	abbr		315654	80 [moby]
R.C.S.	80	moby	abbr		315658	80 [moby]
R.D.	60		abbr		315670	60
R.E.	80	moby	abbr		315693	80 [moby]
r.h.	70	moby	abbr		325337	70 [moby]
R.I.B.A.	80	moby	abbr		326107	80 [moby]
R.I.P.	60		abbr		327386	60
R.M.A.	80	moby	abbr		327870	80 [moby]
R.M.S.	80	moby	abbr		327872	80 [moby]
R.N.	60		abbr		327878	60
r.p.s.	70	moby	abbr		330865	70 [moby]
R.Q.	80	moby	abbr		330871	80 [moby]
R.R.	60		abbr		330877	60
R.S.V.P.	60		abbr		330907	60
rad	85	ukacd	abbr		312927	85 [ukacd]
rad.	80	moby	abbr		312922	80 [moby]
RAG	70	extra	n	abbr	313476	70 [extra]
rall.	80	moby	abbr		313939	80 [moby]
RBI	60		n	abbr?	315629	60
RC	60		unclassified	abbr?	315636	60
rcd.	70	moby	abbr		315648	70 [moby]
rcpt.	60		abbr		315656	60
rd	60		abbr		315666	60
RD	50		unclassified	abbr?	315664	50
rd.	60		abbr		315668	60
Rd.	40		abbr		315660	40
RDA	50	+	unclassified	abbr?	315676	50 [+] 60
Re.	80	moby	abbr		315691	80 [moby]
rec	60		abbr		316576	60
rec.	60		abbr		316575	60
rec'd.	60		abbr		316692	60
recd	50		abbr		316690	50
recd.	50		abbr		316689	50
rect.	80	moby	abbr		317554	80 [moby]
redupl.	80	moby	abbr		318486	80 [moby]
ref	60		abbr		318899	60
ref.	60		abbr		318898	60
Ref. Ch.	80	moby	abbr		318915	80 [moby]
refl.	70	moby	abbr		319044	70 [moby]
reg	60		abbr		319467	60
reg.	60		abbr		319466	60
Reg.	80	moby	abbr		319472	80 [moby]
Regt.	80	moby	abbr		319836	80 [moby]
rel	60		abbr		320483	60
rel.	60		abbr		320482	60
rep	85	ukacd	abbr		321755	85 [ukacd]
Rep	40		abbr		321746	40
rep.	80	moby	abbr		321753	80 [moby]
Rep.	40		abbr		321745	40
rept.	80	moby	abbr		322456	80 [moby]
req.	70	moby	abbr		322599	70 [moby]
res	60		abbr		322762	60
resp	50	extra	abbr		323355	50 [extra]
resp.	80	moby	abbr		323357	80 [moby]
ret	85	ukacd	abbr		125480	85 [ukacd]
retd	70	3of6	abbr		323988	70 [3of6]
retd.	80	moby	abbr		323990	80 [moby]
rev	60		abbr		324611	60
rev.	60		abbr		324610	60
Rev.	40		abbr		324608	40
Rev. Ver.	80	moby	abbr		325174	80 [moby]
RFC	50	extra	abbr		325327	50 [extra]
RFLP	80	upper	unclassified	abbr?	325333	80 [upper]
rheo.	80	moby	abbr		325483	80 [moby]
rhet.	80	moby	abbr		325533	80 [moby]
RIF	60		unclassified	abbr?	326662	60
RIP	40		unclassified	abbr?	327384	40
riv	60		abbr		327704	60
riv.	60		abbr		327703	60
RLHF	70	extra	n	abbr	327865	70 [extra]
rm	50		abbr		327868	50
rm.	50		abbr		327867	50
ROFL	50	extra	abbr		328663	50 [extra]
ROK	70	moby	unclassified	abbr?	328747	70 [moby]
rom.	80	moby	abbr		328984	80 [moby]
Rom.	60		abbr		328978	60
Rom. Cath.	80	moby	abbr		329190	80 [moby]
RP	60		unclassified	abbr?	330857	60
RPI	70	3of6	unclassified	abbr?	330859	70 [3of6]
rps	50		abbr		330863	50
rpt.	70	moby	abbr		330867	70 [moby]
RPV	80	ucacr	unclassified	abbr?	330869	80 [ucacr]
RR	50		unclassified	abbr?	330875	50
Rs.	80	moby	abbr		330895	80 [moby]
RSFSR	60		unclassified	abbr?	330897	60
RSI	60		unclassified	abbr?	330899	60
RSS	70	3of6	unclassified	abbr?	330901	70 [3of6]
RSV	50		unclassified	abbr?	330903	50
RSVP	40		unclassified	abbr?	330905	40
rt	60		abbr		330911	60
rt.	60		abbr		330913	60
Rt. Hon.	70	3of6	unclassified	abbr?	330926	70 [3of6]
Rt. Hon.	80	moby	abbr		330930	80 [moby]
Rt. Rev.	80	moby	abbr		330932	80 [moby]
rte	50		abbr		330918	50
rte.	50		abbr		330917	50
Rte.	40		abbr		330915	40
RTFM	50	extra	abbr		330922	50 [extra]
RTFM	50		m	abbr?	330924	50 hacker
Rus.	80	moby	abbr		332011	80 [moby]
Russ.	60		abbr		332092	60
Rwy.	60		abbr		332402	60
Ry.	60		abbr		332408	60
s	85	ukacd	abbr		332495	85 [ukacd]
s.	60		abbr		332481	60
S.	60		abbr		332483	60
S. Dak.	60		abbr		340941	60
S. of Sol.	80	moby	abbr		357800	80 [moby]
s.a.	80	moby	abbr		332501	80 [moby]
S.A.	60		abbr		332499	60
s.c.	60		abbr		337281	60
s.d.	80	moby	abbr		340936	80 [moby]
S.Dak.	60		abbr		340940	60
s.g.	80	moby	abbr		346399	80 [moby]
S.J.	60		abbr		352934	60
S.J.D.	80	moby	abbr		352944	80 [moby]
s.l.	80	moby	abbr		353843	80 [moby]
S.M.	80	moby	abbr		355358	80 [moby]
s.o.	80	moby	abbr		357158	80 [moby]
S.O.B.	40		abbr		357272	40
s.p.	80	moby	abbr		360543	80 [moby]
S.P.	80	moby	abbr		360545	80 [moby]
S.R.O.	70	moby	abbr		365179	70 [moby]
S.S.	60		abbr		365185	60
S.T.D.	80	moby	abbr		366911	80 [moby]
S.W.	60		abbr		378170	60
S.W.A.	80	moby	abbr		378176	80 [moby]
S.W.G.	80	moby	abbr		378912	80 [moby]
Sab.	80	moby	abbr		332525	80 [moby]
SAC	60		unclassified	abbr?	332750	60
SAD	70	3of6	unclassified	abbr?	333048	70 [3of6]
sae	70	3of6 ukacd	abbr		340969	70 [3of6] 85 [ukacd]
Sam.	80	moby	abbr		334621	80 [moby]
Sans.	80	moby	abbr		335445	80 [moby]
Sask.	60		abbr		336268	60
Sat.	40		abbr		336349	40
Sax.	80	moby	abbr		337120	80 [moby]
sb.	70	moby	abbr		337267	70 [moby]
sc.	80	moby	abbr		337285	80 [moby]
Scan.	60		abbr		337554	60
sch.	60		abbr		338145	60
sci	60		abbr		338960	60
sci.	60		abbr		338959	60
Scot.	60		abbr		339601	60
scr.	80	moby	abbr		339868	80 [moby]
script	85	ukacd	abbr		340314	85 [ukacd]
Script.	80	moby	abbr		340312	80 [moby]
sculp.	80	moby	abbr		340681	80 [moby]
sd.	80	moby	abbr		340934	80 [moby]
SDI	60		unclassified	abbr?	340958	60
SDLP	70	3of6	unclassified	abbr?	340960	70 [3of6]
se	70	3of6 ukacd	abbr		340968	70 [3of6] 85 [ukacd]
SEATO	60		unclassified	abbr?	341506	60
sec	50		abbr		341648	50
sec.	50		abbr		341647	50
Sec.	40		abbr		341645	40
sec'y	60		abbr		342127	60
sect	85	ukacd	abbr		341971	85 [ukacd]
sect.	80	moby	abbr		341969	80 [moby]
secy	50		abbr		342125	50
secy.	50		abbr		342124	50
SEK	70	extra	abbr		342729	70 [extra]
sel	85	ukacd	abbr		342739	85 [ukacd]
sem.	80	moby	abbr		343454	80 [moby]
Sem.	80	moby	abbr		343456	80 [moby]
sen.	60		abbr		344205	60
Sen.	40		abbr		344201	40
Sep	50	extra	abbr		344671	50 [extra]
Sept.	40		abbr		344784	40
seq	60		abbr		344948	60
seq.	60		abbr		344947	60
seqq.	80	moby	abbr		344950	80 [moby]
ser	70	moby	abbr		345030	70 [moby]
SERM	80	upper	n	abbr?	345334	80 [upper]
sf	60		abbr		346376	60
SF	60		unclassified	abbr?	346378	60
SG	70	moby	unclassified	abbr?	346397	70 [moby]
sgd.	80	moby	abbr		346401	80 [moby]
Sgt.	40		abbr		346409	40
sh	85	ukacd	abbr		346417	85 [ukacd]
SHEN	85	ukacd	unclassified	abbr?	347941	85 [ukacd]
shpt	60		abbr		349690	60
shpt.	60		abbr		349689	60
shr.	80	moby	abbr		349692	80 [moby]
shtg.	70	moby	abbr		349918	70 [moby]
sig.	70	moby	abbr		350768	70 [moby]
Sig.	80	moby	abbr		350770	80 [moby]
sin	85	ukacd	abbr		351859	85 [ukacd]
SIN	80	upper	unclassified	abbr?	351857	80 [upper]
sing	50		abbr		351996	50
sing.	50		abbr		351995	50
SJ	60		unclassified	abbr?	352932	60
SJW	50	+	unclassified	abbr?	352946	50 [+]
SK	60		unclassified	abbr?	352948	60
SKU	80	upper	unclassified	abbr?	353651	80 [upper]
SLAPP	80	upper	m	abbr?	354063	80 [upper]
sld.	80	moby	abbr		354296	80 [moby]
SLR	60		unclassified	abbr?	355142	60
SMS	70	3of6	unclassified	abbr?	356106	70 [3of6]
SNAP	80	upper	unclassified	abbr?	356293	80 [upper]
SNG	80	ucacr	unclassified	abbr?	356521	80 [ucacr]
SNOBOL	85	ukacd	unclassified	abbr?	356721	85 [ukacd]
SO	50		n	abbr?	357166	50 hacker 60
so.	60		abbr		357156	60
So.	80	moby	abbr		357160	80 [moby]
soc	60		abbr		357331	60
soc.	60		abbr		357330	60
Soc.	60		abbr		357333	60
sociol.	80	moby	abbr		357531	80 [moby]
sol	50		abbr		357152	50
sol.	80	moby	abbr		357162	80 [moby]
Sol.	80	moby	abbr		357164	80 [moby]
SP	70	moby	unclassified	abbr?	360539	70 [moby]
sp.	80	moby	abbr		360541	80 [moby]
Sp.	70	moby	abbr		360537	70 [moby]
sp. gr.	60		abbr		362201	60
sp. ht.	80	moby	abbr		362364	80 [moby]
Span.	60		abbr		360798	60
SPAR	80	upper	unclassified	abbr?	360932	80 [upper]
SPCA	60		unclassified	abbr?	361303	60
spec	85	ukacd	abbr		361400	85 [ukacd]
spec.	70	moby	abbr		361396	70 [moby]
specif	60		abbr		361485	60
specif.	60		abbr		361484	60
SPECT	80	upper	unclassified	abbr?	361554	80 [upper]
spp.	80	moby	abbr		364049	80 [moby]
sq	40		abbr		364592	40
sq.	40		abbr		364591	40
Sq.	40		abbr		364594	40
SQL	50	extra	abbr		364598	50 [extra]
sqq.	60		abbr		364602	60
SQUID	80	upper	unclassified	abbr?	364981	80 [upper]
Sr.	40		abbr		365142	40
Sra.	80	moby	abbr		365150	80 [moby]
SRAM	80	upper	unclassified	abbr?	365156	80 [upper]
SRO	50		unclassified	abbr?	365177	50
Srta.	80	moby	abbr		365181	80 [moby]
ss.	80	moby	abbr		365193	80 [moby]
SSM	70	moby	unclassified	abbr?	365206	70 [moby]
SSN	70	3of6	unclassified	abbr?	365208	70 [3of6]
SSR	70	moby	unclassified	abbr?	365210	70 [moby]
SST	50		unclassified	abbr?	365216	50
st	60		abbr		365222	60
ST	60		unclassified	abbr?	365226	60
st.	80	moby	abbr		365232	80 [moby]
St.	40		abbr		365220	40
St. Ex.	80	moby	abbr		368209	80 [moby]
Sta.	60		abbr		365236	60
stacc.	80	moby	abbr		365322	80 [moby]
stat.	70	moby	abbr		366549	70 [moby]
std	60		abbr		366907	60
std.	60		abbr		366906	60
Ste.	60		abbr		366915	60
ster.	80	moby	abbr		367774	80 [moby]
stg.	80	moby	abbr		368213	80 [moby]
stge.	80	moby	abbr		368215	80 [moby]
STI	70	3of6	unclassified	abbr?	368233	70 [3of6]
STOL	60		unclassified	abbr?	369244	60
str.	80	moby	abbr		369984	80 [moby]
stud	85	ukacd	abbr		371597	85 [ukacd]
sub	60		abbr		372135	60
sub.	60		abbr		372134	60
subj	50		abbr		372840	50
subj.	50		abbr		372839	50
Suffr.	80	moby	abbr		374570	80 [moby]
Sun.	40		abbr		375409	40
superl.	70	moby	abbr		376371	70 [moby]
supp	60		abbr		376917	60
supp.	60		abbr		376916	60
suppl.	60		abbr		376938	60
supt	60		abbr		377264	60
supt.	60		abbr		377263	60
Supt.	60		abbr		377266	60
surg.	70	moby	abbr		377479	70 [moby]
surv.	80	moby	abbr		377763	80 [moby]
Sw.	70	moby	abbr		378172	70 [moby]
SWAK	60		unclassified	abbr?	378267	60
SWAT	50		unclassified	abbr?	378488	50
Swed.	60		abbr		378628	60
Switz	60		abbr		379225	60
Switz.	60		abbr		379224	60
sym.	70	moby	abbr		379605	70 [moby]
syn	60		abbr		379894	60
syn.	60		abbr		379893	60
synd.	70	moby	abbr		380129	70 [moby]
synop.	80	moby	abbr		380382	80 [moby]
Syr.	80	moby	abbr		380568	80 [moby]
syst.	80	moby	abbr		380652	80 [moby]
t	40		abbr		380749	40
t.	40		abbr		380748	40
T.	40		abbr		380751	40
t.b.	80	moby	abbr		384150	80 [moby]
t.g.	80	moby	abbr		387957	80 [moby]
T.H.I.	80	moby	abbr		389388	80 [moby]
TA	40		unclassified	abbr?	380757	40
tab.	80	moby	abbr		380769	80 [moby]
TACAN	80	upper	unclassified	abbr?	381044	80 [upper]
TAF	80	ucacr	unclassified	abbr?	381333	80 [ucacr]
tan	85	ukacd	abbr		382446	85 [ukacd]
TARP	50	+	unclassified	abbr?	383264	50 [+]
tb	60		abbr		384148	60
TBA	60		unclassified	abbr?	384152	60
tbs	50		abbr		384167	50
tbs.	50		abbr		384166	50
tbsp	40		abbr		384172	40
tbsp.	40		abbr		384171	40
TCDD	80	ucacr	unclassified	abbr?	384180	80 [ucacr]
TD	50		unclassified	abbr?	384204	50
TDD	60		unclassified	abbr?	384206	60
tech	50		abbr		384573	50
tech.	50		abbr		384572	50
TEFL	60		unclassified	abbr?	384934	60
tel	50		abbr		385041	50
tel.	50		abbr		385040	50
teleg.	80	moby	abbr		385155	80 [moby]
TELNET	50		m	abbr?	385670	50 hacker
temp	50		abbr		385762	50
temp.	50		abbr		385761	50
ten.	80	moby	abbr		385973	80 [moby]
TENS	80	upper	unclassified	abbr?	386353	80 [upper]
TEPP	80	upper	unclassified	abbr?	386593	80 [upper]
ter.	80	moby	abbr		386603	80 [moby]
term.	80	moby	abbr		386795	80 [moby]
terr	60		abbr		386958	60
terr.	60		abbr		386957	60
Terr.	40		abbr		386955	40
TESL	60		unclassified	abbr?	387261	60
TESOL	60		unclassified	abbr?	387269	60
Teut.	80	moby	abbr		387801	80 [moby]
TGIF	60		unclassified	abbr?	387959	60
Th.B.	80	moby	abbr		388301	80 [moby]
Th.D.	70	moby	abbr		388305	70 [moby]
theol.	70	moby	abbr		388615	70 [moby]
therm	85	ukacd	abbr		388956	85 [ukacd]
Thess.	80	moby	abbr		389309	80 [moby]
Thur.	50		abbr		390892	50
Thurs.	40		abbr		390927	40
Tim	85	ukacd	abbr		391786	85 [ukacd]
tinct.	80	moby	abbr		392194	80 [moby]
Tit.	80	moby	abbr		392686	80 [moby]
tko	80	lcacr	abbr		392989	80 [lcacr]
tkos	80	lcacr	abbr		392991	80 [lcacr]
TM	40		unclassified	abbr?	393007	40
tn	60		abbr		393018	60
tn.	60		abbr		393017	60
tnpk	60		abbr		393021	60
tnpk.	60		abbr		393020	60
Tob.	80	moby	abbr		393101	80 [moby]
TOEFL	40		unclassified	abbr?	393251	40
topog.	80	moby	abbr		394502	80 [moby]
tot	85	ukacd	abbr		395144	85 [ukacd]
tox.	80	moby	abbr		395759	80 [moby]
TQM	60		unclassified	abbr?	395910	60
tr	60		abbr		395913	60
tr.	60		abbr		395912	60
trans	50		abbr		396764	50
trans.	50		abbr		396763	50
transf.	80	moby	abbr		396926	80 [moby]
