start	end	script	comment
0750	077F	Arabic	Lo  [48] ARABIC LETTER BEH WITH THREE DOTS HORIZONTALLY BELOW..ARABIC LETTER KAF WITH TWO DOTS ABOVE
0870	0887	Arabic	Lo  [24] ARABIC LETTER ALEF WITH ATTACHED FATHA..ARABIC BASELINE ROUND DOT
0888	0888	Arabic	Sk       ARABIC RAISED ROUND DOT
0889	088F	Arabic	Lo   [7] ARABIC LETTER NOON WITH INVERTED SMALL V..ARABIC LETTER NOON WITH RING ABOVE
0890	0891	Arabic	Cf   [2] ARABIC POUND MARK ABOVE..ARABIC PIASTRE MARK ABOVE
0897	089F	Arabic	Mn   [9] ARABIC PEPET..ARABIC HALF MADDA OVER MADDA
08A0	08C8	Arabic	Lo  [41] ARABIC LETTER BEH WITH SMALL V BELOW..ARABIC LETTER GRAF
08C9	08C9	Arabic	Lm       ARABIC SMALL FARSI YEH
08CA	08E1	Arabic	Mn  [24] ARABIC SMALL HIGH FARSI YEH..ARABIC SMALL HIGH SIGN SAFHA
08E3	08FF	Arabic	Mn  [29] ARABIC TURNED DAMMA BELOW..ARABIC MARK SIDEWAYS NOON GHUNNA
FB50	FBB1	Arabic	Lo  [98] ARABIC LETTER ALEF WASLA ISOLATED FORM..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE FINAL FORM
FBB2	FBC2	Arabic	Sk  [17] ARABIC SYMBOL DOT ABOVE..ARABIC SYMBOL WASLA ABOVE
FBC3	FBD2	Arabic	So  [16] ARABIC LIGATURE JALLA WA-ALAA..ARABIC LIGATURE ALAYHI AR-RAHMAH
FBD3	FD3D	Arabic	Lo [363] ARABIC LETTER NG ISOLATED FORM..ARABIC LIGATURE ALEF WITH FATHATAN ISOLATED FORM
FD40	FD4F	Arabic	So  [16] ARABIC LIGATURE RAHIMAHU ALLAAH..ARABIC LIGATURE RAHIMAHUM ALLAAH
FD50	FD8F	Arabic	Lo  [64] ARABIC LIGATURE TEH WITH JEEM WITH MEEM INITIAL FORM..ARABIC LIGATURE MEEM WITH KHAH WITH MEEM INITIAL FORM
FD90	FD91	Arabic	So   [2] ARABIC LIGATURE RAHMATU ALLAAHI ALAYH..ARABIC LIGATURE RAHMATU ALLAAHI ALAYHAA
FD92	FDC7	Arabic	Lo  [54] ARABIC LIGATURE MEEM WITH JEEM WITH KHAH INITIAL FORM..ARABIC LIGATURE NOON WITH JEEM WITH YEH FINAL FORM
FDC8	FDCF	Arabic	So   [8] ARABIC LIGATURE RAHIMAHU ALLAAH TAAALAA..ARABIC LIGATURE SALAAMUHU ALAYNAA
FDF0	FDFB	Arabic	Lo  [12] ARABIC LIGATURE SALLA USED AS KORANIC STOP SIGN ISOLATED FORM..ARABIC LIGATURE JALLAJALALOUHOU
FDFC	FDFC	Arabic	Sc       RIAL SIGN
FDFD	FDFF	Arabic	So   [3] ARABIC LIGATURE BISMILLAH AR-RAHMAN AR-RAHEEM..ARABIC LIGATURE AZZA WA JALL
FE70	FE74	Arabic	Lo   [5] ARABIC FATHATAN ISOLATED FORM..ARABIC KASRATAN ISOLATED FORM
FE76	FEFC	Arabic	Lo [135] ARABIC FATHA ISOLATED FORM..ARABIC LIGATURE LAM WITH ALEF FINAL FORM
10E60	10E7E	Arabic	No  [31] RUMI DIGIT ONE..RUMI FRACTION TWO THIRDS
10EC2	10EC4	Arabic	Lo   [3] ARABIC LETTER DAL WITH TWO DOTS VERTICALLY BELOW..ARABIC LETTER KAF WITH TWO DOTS VERTICALLY BELOW
10EC5	10EC5	Arabic	Lm       ARABIC SMALL YEH BARREE WITH TWO DOTS BELOW
10EC6	10EC7	Arabic	Lo   [2] ARABIC LETTER THIN NOON..ARABIC LETTER YEH WITH FOUR DOTS BELOW
10ED0	10ED0	Arabic	Po       ARABIC BIBLICAL END OF VERSE
10ED1	10ED8	Arabic	So   [8] ARABIC LIGATURE ALAYHAA AS-SALAATU WAS-SALAAM..ARABIC LIGATURE NAWWARA ALLAAHU MARQADAH
10EFA	10EFF	Arabic	Mn   [6] ARABIC DOUBLE VERTICAL BAR BELOW..ARABIC SMALL LOW WORD MADDA
1EE00	1EE03	Arabic	Lo   [4] ARABIC MATHEMATICAL ALEF..ARABIC MATHEMATICAL DAL
1EE05	1EE1F	Arabic	Lo  [27] ARABIC MATHEMATICAL WAW..ARABIC MATHEMATICAL DOTLESS QAF
1EE21	1EE22	Arabic	Lo   [2] ARABIC MATHEMATICAL INITIAL BEH..ARABIC MATHEMATICAL INITIAL JEEM
1EE24	1EE24	Arabic	Lo       ARABIC MATHEMATICAL INITIAL HEH
1EE27	1EE27	Arabic	Lo       ARABIC MATHEMATICAL INITIAL HAH
1EE29	1EE32	Arabic	Lo  [10] ARABIC MATHEMATICAL INITIAL YEH..ARABIC MATHEMATICAL INITIAL QAF
1EE34	1EE37	Arabic	Lo   [4] ARABIC MATHEMATICAL INITIAL SHEEN..ARABIC MATHEMATICAL INITIAL KHAH
1EE39	1EE39	Arabic	Lo       ARABIC MATHEMATICAL INITIAL DAD
1EE3B	1EE3B	Arabic	Lo       ARABIC MATHEMATICAL INITIAL GHAIN
1EE42	1EE42	Arabic	Lo       ARABIC MATHEMATICAL TAILED JEEM
1EE47	1EE47	Arabic	Lo       ARABIC MATHEMATICAL TAILED HAH
1EE49	1EE49	Arabic	Lo       ARABIC MATHEMATICAL TAILED YEH
1EE4B	1EE4B	Arabic	Lo       ARABIC MATHEMATICAL TAILED LAM
1EE4D	1EE4F	Arabic	Lo   [3] ARABIC MATHEMATICAL TAILED NOON..ARABIC MATHEMATICAL TAILED AIN
1EE51	1EE52	Arabic	Lo   [2] ARABIC MATHEMATICAL TAILED SAD..ARABIC MATHEMATICAL TAILED QAF
1EE54	1EE54	Arabic	Lo       ARABIC MATHEMATICAL TAILED SHEEN
1EE57	1EE57	Arabic	Lo       ARABIC MATHEMATICAL TAILED KHAH
1EE59	1EE59	Arabic	Lo       ARABIC MATHEMATICAL TAILED DAD
1EE5B	1EE5B	Arabic	Lo       ARABIC MATHEMATICAL TAILED GHAIN
1EE5D	1EE5D	Arabic	Lo       ARABIC MATHEMATICAL TAILED DOTLESS NOON
1EE5F	1EE5F	Arabic	Lo       ARABIC MATHEMATICAL TAILED DOTLESS QAF
1EE61	1EE62	Arabic	Lo   [2] ARABIC MATHEMATICAL STRETCHED BEH..ARABIC MATHEMATICAL STRETCHED JEEM
1EE64	1EE64	Arabic	Lo       ARABIC MATHEMATICAL STRETCHED HEH
1EE67	1EE6A	Arabic	Lo   [4] ARABIC MATHEMATICAL STRETCHED HAH..ARABIC MATHEMATICAL STRETCHED KAF
1EE6C	1EE72	Arabic	Lo   [7] ARABIC MATHEMATICAL STRETCHED MEEM..ARABIC MATHEMATICAL STRETCHED QAF
1EE74	1EE77	Arabic	Lo   [4] ARABIC MATHEMATICAL STRETCHED SHEEN..ARABIC MATHEMATICAL STRETCHED KHAH
1EE79	1EE7C	Arabic	Lo   [4] ARABIC MATHEMATICAL STRETCHED DAD..ARABIC MATHEMATICAL STRETCHED DOTLESS BEH
1EE7E	1EE7E	Arabic	Lo       ARABIC MATHEMATICAL STRETCHED DOTLESS FEH
1EE80	1EE89	Arabic	Lo  [10] ARABIC MATHEMATICAL LOOPED ALEF..ARABIC MATHEMATICAL LOOPED YEH
1EE8B	1EE9B	Arabic	Lo  [17] ARABIC MATHEMATICAL LOOPED LAM..ARABIC MATHEMATICAL LOOPED GHAIN
1EEA1	1EEA3	Arabic	Lo   [3] ARABIC MATHEMATICAL DOUBLE-STRUCK BEH..ARABIC MATHEMATICAL DOUBLE-STRUCK DAL
1EEA5	1EEA9	Arabic	Lo   [5] ARABIC MATHEMATICAL DOUBLE-STRUCK WAW..ARABIC MATHEMATICAL DOUBLE-STRUCK YEH
1EEAB	1EEBB	Arabic	Lo  [17] ARABIC MATHEMATICAL DOUBLE-STRUCK LAM..ARABIC MATHEMATICAL DOUBLE-STRUCK GHAIN
1EEF0	1EEF1	Arabic	Sm   [2] ARABIC MATHEMATICAL OPERATOR MEEM WITH HAH WITH TATWEEL..ARABIC MATHEMATICAL OPERATOR HAH WITH DAL
