type	subtag	tag	preferredValue	suppressScript	macrolanguage	scope	deprecated	added	prefix	description
language	dhd				mwr			2009-07-29		Dhundari
language	dhg							2009-07-29		Dhangu-Djangu | Dhangu | Djangu
language	dhi							2009-07-29		Dhimal
language	dhl							2009-07-29		Dhalandji
language	dhm							2009-07-29		Zemba
language	dhn							2009-07-29		Dhanki
language	dho							2009-07-29		Dhodia
language	dhr							2009-07-29		Dhargari
language	dhs							2009-07-29		Dhaiso
language	dhu							2009-07-29		Dhurga
language	dhv							2009-07-29		Dehu | Drehu
language	dhw							2009-07-29		Dhanwar (Nepal)
language	dhx							2013-09-10		Dhungaloo
language	dia							2009-07-29		Dia
language	dib				din			2009-07-29		South Central Dinka
language	dic							2009-07-29		Lakota Dida
language	did							2009-07-29		Didinga
language	dif							2009-07-29		Dieri | Diyari
language	dig							2009-07-29		Digo | Chidigo
language	dih							2009-07-29		Kumiai
language	dii							2009-07-29		Dimbong
language	dij							2009-07-29		Dai
language	dik				din			2009-07-29		Southwestern Dinka
language	dil							2009-07-29		Dilling
language	dim							2009-07-29		Dime
language	din					macrolanguage		2005-10-16		Dinka
language	dio							2009-07-29		Dibo
language	dip				din			2009-07-29		Northeastern Dinka
language	diq				zza			2009-07-29		Dimli (individual language)
language	dir							2009-07-29		Dirim
language	dis							2009-07-29		Dimasa
language	dit		dif				2019-04-29	2009-07-29		Dirari
language	diu							2009-07-29		Diriku
language	diw				din			2009-07-29		Northwestern Dinka
language	dix							2009-07-29		Dixon Reef
language	diy							2009-07-29		Diuwe
language	diz							2009-07-29		Ding
language	dja							2012-08-12		Djadjawurrung
language	djb							2009-07-29		Djinba
language	djc							2009-07-29		Dar Daju Daju
language	djd							2009-07-29		Djamindjung | Ngaliwurru
language	dje							2009-07-29		Zarma
language	djf							2009-07-29		Djangun
language	dji							2009-07-29		Djinang
language	djj							2009-07-29		Djeebbana
language	djk							2009-07-29		Eastern Maroon Creole | Businenge Tongo | Nenge
language	djl						2013-09-10	2009-07-29		Djiwarli
language	djm							2009-07-29		Jamsay Dogon
language	djn							2009-07-29		Jawoyn | Djauan
language	djo							2009-07-29		Jangkang
language	djr							2009-07-29		Djambarrpuyngu
language	dju							2009-07-29		Kapriman
language	djw							2009-07-29		Djawi
language	dka							2009-07-29		Dakpakha
language	dkg							2021-02-20		Kadung
language	dkk							2009-07-29		Dakka
language	dkl						2011-08-16	2009-07-29		Kolum So Dogon
language	dkr							2009-07-29		Kuijau
language	dks				din			2009-07-29		Southeastern Dinka
language	dkx							2009-07-29		Mazagway
language	dlg							2009-07-29		Dolgan
language	dlk							2013-09-10		Dahalik
language	dlm							2009-07-29		Dalmatian
language	dln							2009-07-29		Darlong
language	dma							2009-07-29		Duma
language	dmb							2011-08-16		Mombo Dogon
language	dmc							2009-07-29		Gavak
language	dmd							2012-08-12		Madhi Madhi
language	dme							2009-07-29		Dugwor
language	dmf							2020-03-28		Medefaidrin
language	dmg							2009-07-29		Upper Kinabatangan
language	dmk							2009-07-29		Domaaki
language	dml							2009-07-29		Dameli
language	dmm							2009-07-29		Dama
language	dmn					collection		2009-07-29		Mande languages
language	dmo							2009-07-29		Kemedzung
language	dmr							2009-07-29		East Damar
language	dms							2009-07-29		Dampelas
language	dmu							2009-07-29		Dubu | Tebi
language	dmv							2009-07-29		Dumpas
language	dmw							2013-09-10		Mudburra
language	dmx							2009-07-29		Dema
language	dmy							2009-07-29		Demta | Sowari
language	dna							2009-07-29		Upper Grand Valley Dani
language	dnd							2009-07-29		Daonda
language	dne							2009-07-29		Ndendeule
language	dng							2009-07-29		Dungan
language	dni							2009-07-29		Lower Grand Valley Dani
language	dnj							2013-09-10		Dan
language	dnk							2009-07-29		Dengka
language	dnn							2009-07-29		Dzùùngoo
language	dno							2018-10-28		Ndrulo | Northern Lendu
language	dnr							2009-07-29		Danaru
language	dnt							2009-07-29		Mid Grand Valley Dani
language	dnu							2009-07-29		Danau
language	dnv							2012-08-12		Danu
language	dnw							2009-07-29		Western Dani
language	dny							2009-07-29		Dení
language	doa							2009-07-29		Dom
language	dob							2009-07-29		Dobu
language	doc							2009-07-29		Northern Dong
language	doe							2009-07-29		Doe
language	dof							2009-07-29		Domu
language	doh							2009-07-29		Dong
language	doi					macrolanguage		2005-10-16		Dogri (macrolanguage)
language	dok							2009-07-29		Dondo
language	dol							2009-07-29		Doso
language	don							2009-07-29		Toura (Papua New Guinea)
language	doo							2009-07-29		Dongo
language	dop							2009-07-29		Lukpa
language	doq							2009-07-29		Dominican Sign Language
language	dor							2009-07-29		Dori'o
language	dos							2009-07-29		Dogosé
language	dot							2009-07-29		Dass
language	dov							2009-07-29		Dombe
language	dow							2009-07-29		Doyayo
language	dox							2009-07-29		Bussa
language	doy							2009-07-29		Dompo
language	doz							2009-07-29		Dorze
language	dpp							2009-07-29		Papar
language	dra					collection		2005-10-16		Dravidian languages
language	drb							2009-07-29		Dair
language	drc							2011-08-16		Minderico
language	drd							2009-07-29		Darmiya
language	dre							2009-07-29		Dolpo
language	drg							2009-07-29		Rungus
language	drh		khk				2010-03-11	2009-07-29		Darkhat
language	dri							2009-07-29		C'Lela
language	drl							2009-07-29		Paakantyi
language	drn							2009-07-29		West Damar
language	dro							2009-07-29		Daro-Matu Melanau
language	drq							2009-07-29		Dura
language	drr		kzk				2020-03-28	2009-07-29		Dororo
language	drs							2009-07-29		Gedeo
language	drt							2009-07-29		Drents
language	dru							2009-07-29		Rukai
language	drw		prs				2010-03-11	2009-07-29		Darwazi
language	dry							2009-07-29		Darai
language	dsb			Latn				2005-10-16		Lower Sorbian
language	dse							2009-07-29		Dutch Sign Language
language	dsh							2009-07-29		Daasanach
language	dsi							2009-07-29		Disa
language	dsk							2023-03-17		Dokshi
language	dsl							2009-07-29		Danish Sign Language
language	dsn							2009-07-29		Dusner
language	dso							2009-07-29		Desiya
language	dsq							2009-07-29		Tadaksahak
language	dsz							2022-02-25		Mardin Sign Language
language	dta							2009-07-29		Daur
language	dtb							2009-07-29		Labuk-Kinabatangan Kadazan
language	dtd							2011-08-16		Ditidaht
language	dth							2012-08-12		Adithinngithigh
language	dti							2009-07-29		Ana Tinga Dogon
language	dtk							2009-07-29		Tene Kan Dogon
language	dtm							2009-07-29		Tomo Kan Dogon
language	dtn							2016-05-30		Daatsʼíin
language	dto							2012-08-12		Tommo So Dogon
language	dtp							2009-07-29		Kadazan Dusun | Central Dusun
language	dtr							2009-07-29		Lotud
language	dts							2009-07-29		Toro So Dogon
language	dtt							2009-07-29		Toro Tegu Dogon
language	dtu							2009-07-29		Tebul Ure Dogon
language	dty				ne			2012-08-12		Dotyali
language	dua							2005-10-16		Duala
language	dub							2009-07-29		Dubli
language	duc							2009-07-29		Duna
language	dud						2019-04-16	2009-07-29		Hun-Saare
language	due							2009-07-29		Umiray Dumaget Agta
language	duf							2009-07-29		Dumbea | Drubea
language	dug							2009-07-29		Duruma | Chiduruma
language	duh							2009-07-29		Dungra Bhil
language	dui							2009-07-29		Dumun
language	duj						2016-05-30	2009-07-29		Dhuwal
language	duk							2009-07-29		Uyajitaya
language	dul							2009-07-29		Alabat Island Agta
language	dum							2005-10-16		Middle Dutch (ca. 1050-1350)
language	dun							2009-07-29		Dusun Deyah
language	duo							2009-07-29		Dupaninan Agta
language	dup				ms			2009-07-29		Duano
language	duq							2009-07-29		Dusun Malang
language	dur							2009-07-29		Dii
language	dus							2009-07-29		Dumi
language	duu							2009-07-29		Drung
language	duv							2009-07-29		Duvle
language	duw							2009-07-29		Dusun Witu
language	dux							2009-07-29		Duungooma
language	duy							2009-07-29		Dicamay Agta
language	duz							2009-07-29		Duli-Gey
language	dv			Thaa				2005-10-16		Dhivehi | Divehi | Maldivian
language	dva							2009-07-29		Duau
language	dwa							2009-07-29		Diri
language	dwk							2020-03-28		Dawik Kui
language	dwl						2012-08-12	2009-07-29		Walo Kumbe Dogon
language	dwr							2009-07-29		Dawro
language	dws							2009-07-29		Dutton World Speedwords
language	dwu							2016-05-30		Dhuwal
language	dww							2009-07-29		Dawawa
language	dwy							2016-05-30		Dhuwaya
language	dwz							2018-10-28		Dewas Rai
language	dya							2009-07-29		Dyan
language	dyb							2009-07-29		Dyaberdyaber
language	dyd							2009-07-29		Dyugun
language	dyg							2009-07-29		Villa Viciosa Agta
language	dyi							2009-07-29		Djimini Senoufo
language	dyl							2026-04-09		Bhutanese Sign Language
language	dym							2009-07-29		Yanda Dom Dogon
language	dyn							2009-07-29		Dyangadi | Dhanggatti
language	dyo							2009-07-29		Jola-Fonyi
language	dyr							2023-03-17		Dyarim
language	dyu							2005-10-16		Dyula
language	dyy							2009-07-29		Djabugay | Dyaabugay
language	dz			Tibt				2005-10-16		Dzongkha
language	dza							2009-07-29		Tunzu
language	dzd							2009-07-29		Daza
language	dze							2013-09-10		Djiwarli
language	dzg							2009-07-29		Dazaga
language	dzl							2009-07-29		Dzalakha
language	dzn							2009-07-29		Dzando
language	eaa							2013-09-10		Karenggapa
language	ebc							2020-03-28		Beginci
language	ebg							2009-07-29		Ebughu
language	ebk				bnc			2010-03-11		Eastern Bontok
language	ebo							2009-07-29		Teke-Ebo
language	ebr							2009-07-29		Ebrié
language	ebu							2009-07-29		Embu | Kiembu
language	ecr							2009-07-29		Eteocretan
language	ecs							2009-07-29		Ecuadorian Sign Language
language	ecy							2009-07-29		Eteocypriot
language	ee							2005-10-16		Ewe
language	eee							2009-07-29		E
language	efa							2009-07-29		Efai
language	efe							2009-07-29		Efe
language	efi							2005-10-16		Efik
language	ega							2009-07-29		Ega
language	egl							2009-07-29		Emilian
language	egm							2022-02-25		Benamanga
language	ego							2009-07-29		Eggon
language	egx					collection		2009-07-29		Egyptian languages
language	egy							2005-10-16		Egyptian (Ancient)
language	ehs							2021-02-20		Miyakubo Sign Language
language	ehu							2009-07-29		Ehueun
language	eip							2009-07-29		Eipomek
language	eit							2009-07-29		Eitiep
language	eiv							2009-07-29		Askopan
language	eja							2009-07-29		Ejamat
language	eka							2005-10-16		Ekajuk
language	ekc						2020-03-28	2013-09-10		Eastern Karnic
language	eke							2009-07-29		Ekit
language	ekg							2009-07-29		Ekari
language	eki							2009-07-29		Eki
language	ekk				et			2009-07-29		Standard Estonian
language	ekl							2009-07-29		Kol (Bangladesh) | Kol
language	ekm							2009-07-29		Elip
language	eko							2009-07-29		Koti
language	ekp							2009-07-29		Ekpeye
language	ekr							2009-07-29		Yace
language	eky							2009-07-29		Eastern Kayah
language	el			Grek				2005-10-16		Modern Greek (1453-)
language	ele							2009-07-29		Elepi
language	elh							2009-07-29		El Hugeirat
language	eli							2009-07-29		Nding
language	elk							2009-07-29		Elkei
language	elm							2009-07-29		Eleme
language	elo							2009-07-29		El Molo
language	elp						2012-08-12	2009-07-29		Elpaputih
language	elu							2009-07-29		Elu
language	elx							2005-10-16		Elamite
language	ema							2009-07-29		Emai-Iuleha-Ora
language	emb							2009-07-29		Embaloh
language	eme							2009-07-29		Emerillon
language	emg							2009-07-29		Eastern Meohang
language	emi							2009-07-29		Mussau-Emira
language	emk				man			2009-07-29		Eastern Maninkakan
language	emm							2009-07-29		Mamulique
language	emn							2009-07-29		Eman
language	emo						2014-02-28	2009-07-29		Emok
language	emp							2009-07-29		Northern Emberá
language	emq							2021-02-20		Eastern Minyag
language	ems							2009-07-29		Pacific Gulf Yupik
language	emu							2009-07-29		Eastern Muria
language	emw							2009-07-29		Emplawas
language	emx							2010-03-11		Erromintxela
language	emy							2009-07-29		Epigraphic Mayan
language	emz							2021-02-20		Mbessa
language	en			Latn				2005-10-16		English
language	ena							2009-07-29		Apali
language	enb				kln			2009-07-29		Markweeta
language	enc							2009-07-29		En
language	end							2009-07-29		Ende
language	enf							2009-07-29		Forest Enets
language	enh							2009-07-29		Tundra Enets
language	enl							2014-02-28		Enlhet
language	enm							2005-10-16		Middle English (1100-1500)
language	enn							2009-07-29		Engenni
language	eno							2009-07-29		Enggano
language	enq							2009-07-29		Enga
language	enr							2009-07-29		Emumu | Emem
language	enu							2009-07-29		Enu
language	env							2009-07-29		Enwan (Edo State)
language	enw							2009-07-29		Enwan (Akwa Ibom State)
language	enx							2014-02-28		Enxet
language	eo			Latn				2005-10-16		Esperanto
language	eot							2009-07-29		Beti (Côte d'Ivoire)
language	epi							2009-07-29		Epie
language	era							2009-07-29		Eravallan
language	erg							2009-07-29		Sie
language	erh							2009-07-29		Eruwa
language	eri							2009-07-29		Ogea
language	erk							2009-07-29		South Efate
language	ero							2009-07-29		Horpa
language	err							2009-07-29		Erre
language	ers							2009-07-29		Ersu
language	ert							2009-07-29		Eritai
language	erw							2009-07-29		Erokwanas
language	es			Latn				2005-10-16		Spanish | Castilian
language	ese							2009-07-29		Ese Ejja
language	esg				gon			2016-05-30		Aheri Gondi
language	esh							2009-07-29		Eshtehardi
language	esi				ik			2009-07-29		North Alaskan Inupiatun
language	esk				ik			2009-07-29		Northwest Alaska Inupiatun
language	esl							2009-07-29		Egypt Sign Language
language	esm							2009-07-29		Esuma
language	esn							2009-07-29		Salvadoran Sign Language
language	eso							2009-07-29		Estonian Sign Language
language	esq							2009-07-29		Esselen
language	ess							2009-07-29		Central Siberian Yupik
language	esu							2009-07-29		Central Yupik
language	esx					collection		2009-07-29		Eskimo-Aleut languages
language	esy							2014-04-06		Eskayan
language	et			Latn		macrolanguage		2005-10-16		Estonian
language	etb							2009-07-29		Etebi
language	etc							2009-07-29		Etchemin
language	eth							2009-07-29		Ethiopian Sign Language
language	etn							2009-07-29		Eton (Vanuatu)
language	eto							2009-07-29		Eton (Cameroon)
language	etr							2009-07-29		Edolo
language	ets							2009-07-29		Yekhee
language	ett							2009-07-29		Etruscan
language	etu							2009-07-29		Ejagham
language	etx							2009-07-29		Eten
language	etz							2009-07-29		Semimi
language	eu			Latn				2005-10-16		Basque
language	eud							2023-03-17		Eudeve
language	euq					collection		2009-07-29		Basque (family)
language	eve							2009-07-29		Even
language	evh							2009-07-29		Uvbie
language	evn							2009-07-29		Evenki
language	ewo							2005-10-16		Ewondo
language	ext							2009-07-29		Extremaduran
language	eya							2009-07-29		Eyak
language	eyo				kln			2009-07-29		Keiyo
language	eza							2013-09-10		Ezaa
language	eze							2009-07-29		Uzekwe
language	fa			Arab		macrolanguage		2005-10-16		Persian
language	faa							2009-07-29		Fasu
language	fab							2009-07-29		Fa d'Ambu
language	fad							2009-07-29		Wagi
language	faf							2009-07-29		Fagani
language	fag							2009-07-29		Finongan
language	fah							2009-07-29		Baissa Fali
language	fai							2009-07-29		Faiwol
language	faj							2009-07-29		Faita
language	fak							2009-07-29		Fang (Cameroon)
language	fal							2009-07-29		South Fali
language	fam							2009-07-29		Fam
language	fan							2005-10-16		Fang (Equatorial Guinea)
language	fap							2009-07-29		Paloor
language	far							2009-07-29		Fataleka
language	fat				ak			2005-10-16		Fanti
language	fau							2009-07-29		Fayu
language	fax							2009-07-29		Fala
language	fay							2009-07-29		Southwestern Fars
language	faz							2009-07-29		Northwestern Fars
language	fbl				bik			2010-03-11		West Albay Bikol
language	fcs							2009-07-29		Quebec Sign Language
language	fer							2009-07-29		Feroge
language	ff					macrolanguage		2005-10-16		Fulah
language	ffi							2009-07-29		Foia Foia
language	ffm				ff			2009-07-29		Maasina Fulfulde
language	fgr							2009-07-29		Fongoro
language	fi			Latn				2005-10-16		Finnish
language	fia							2009-07-29		Nobiin
language	fie							2009-07-29		Fyer
language	fif							2020-06-08		Faifi
language	fil							2005-10-16		Filipino | Pilipino
language	fip							2009-07-29		Fipa
language	fir							2009-07-29		Firan
language	fit							2009-07-29		Tornedalen Finnish | Meänkieli
language	fiu					collection		2005-10-16		Finno-Ugrian languages
language	fiw							2009-07-29		Fiwaga
language	fj			Latn				2005-10-16		Fijian
language	fkk							2012-08-12		Kirya-Konzəl
language	fkv							2009-07-29		Kven Finnish
language	fla							2009-07-29		Kalispel-Pend d'Oreille
language	flh							2009-07-29		Foau
language	fli							2009-07-29		Fali
language	fll							2009-07-29		North Fali
language	fln							2009-07-29		Flinders Island
language	flr							2009-07-29		Fuliiru
language	fly							2009-07-29		Flaaitaal | Tsotsitaal
language	fmp							2009-07-29		Fe'fe'
language	fmu							2009-07-29		Far Western Muria
language	fnb							2016-05-30		Fanbak
language	fng							2009-07-29		Fanagalo
language	fni							2009-07-29		Fania
language	fo			Latn				2005-10-16		Faroese
language	fod							2009-07-29		Foodo
language	foi							2009-07-29		Foi
language	fom							2009-07-29		Foma
language	fon							2005-10-16		Fon
language	for							2009-07-29		Fore
language	fos							2009-07-29		Siraya
language	fox					collection		2009-07-29		Formosan languages
language	fpe							2009-07-29		Fernando Po Creole English
language	fqs							2009-07-29		Fas
language	fr			Latn				2005-10-16		French
language	frc							2009-07-29		Cajun French
language	frd							2009-07-29		Fordata
language	frk							2009-07-29		Frankish
language	frm							2005-10-16		Middle French (ca. 1400-1600)
language	fro							2005-10-16		Old French (842-ca. 1400)
language	frp							2009-07-29		Arpitan | Francoprovençal
language	frq							2009-07-29		Forak
language	frr			Latn				2006-03-08		Northern Frisian
language	frs			Latn				2006-03-08		Eastern Frisian
language	frt							2009-07-29		Fortsenal
language	fse							2009-07-29		Finnish Sign Language
language	fsl							2009-07-29		French Sign Language
language	fss							2009-07-29		Finland-Swedish Sign Language | finlandssvenskt teckenspråk | suomenruotsalainen viittomakieli
language	fub				ff			2009-07-29		Adamawa Fulfulde
language	fuc				ff			2009-07-29		Pulaar
language	fud							2009-07-29		East Futuna
language	fue				ff			2009-07-29		Borgu Fulfulde
language	fuf				ff			2009-07-29		Pular
language	fuh				ff			2009-07-29		Western Niger Fulfulde
language	fui				ff			2009-07-29		Bagirmi Fulfulde
language	fuj							2009-07-29		Ko
language	fum							2009-07-29		Fum
language	fun							2009-07-29		Fulniô
language	fuq				ff			2009-07-29		Central-Eastern Niger Fulfulde
language	fur							2005-10-16		Friulian
language	fut							2009-07-29		Futuna-Aniwa
language	fuu							2009-07-29		Furu
language	fuv				ff			2009-07-29		Nigerian Fulfulde
language	fuy							2009-07-29		Fuyug
language	fvr							2009-07-29		Fur
language	fwa							2009-07-29		Fwâi
language	fwe							2009-07-29		Fwe
language	fy			Latn				2005-10-16		Western Frisian
language	ga			Latn				2005-10-16		Irish
language	gaa							2005-10-16		Ga
language	gab							2009-07-29		Gabri
language	gac							2010-03-11		Mixed Great Andamanese
language	gad							2009-07-29		Gaddang
language	gae							2009-07-29		Guarequena
language	gaf							2009-07-29		Gende
language	gag							2009-07-29		Gagauz
language	gah							2009-07-29		Alekano
language	gai							2009-07-29		Borei
language	gaj							2009-07-29		Gadsup
language	gak							2009-07-29		Gamkonora
language	gal							2009-07-29		Galolen
language	gam							2009-07-29		Kandawo
language	gan				zh			2009-07-29		Gan Chinese
language	gao							2009-07-29		Gants
language	gap							2009-07-29		Gal
language	gaq							2009-07-29		Gata'
language	gar							2009-07-29		Galeya
language	gas							2009-07-29		Adiwasi Garasia
language	gat							2009-07-29		Kenati
language	gau							2009-07-29		Mudhili Gadaba
language	gav		dev				2010-03-11	2009-07-29		Gabutamon
language	gaw							2009-07-29		Nobonob
language	gax				om			2009-07-29		Borana-Arsi-Guji Oromo
language	gay							2005-10-16		Gayo
language	gaz				om			2009-07-29		West Central Oromo
language	gba					macrolanguage		2005-10-16		Gbaya (Central African Republic)
language	gbb							2009-07-29		Kaytetye
language	gbc						2012-08-12	2009-07-29		Garawa
language	gbd							2009-07-29		Karajarri
language	gbe							2009-07-29		Niksek
language	gbf							2009-07-29		Gaikundi
language	gbg							2009-07-29		Gbanziri
language	gbh							2009-07-29		Defi Gbe
language	gbi							2009-07-29		Galela
language	gbj							2009-07-29		Bodo Gadaba
language	gbk							2009-07-29		Gaddi
language	gbl							2009-07-29		Gamit
language	gbm							2009-07-29		Garhwali
language	gbn							2009-07-29		Mo'da
language	gbo				grb			2009-07-29		Northern Grebo
language	gbp				gba			2009-07-29		Gbaya-Bossangoa
language	gbq				gba			2009-07-29		Gbaya-Bozoum
language	gbr							2009-07-29		Gbagyi
language	gbs							2009-07-29		Gbesi Gbe
language	gbu							2009-07-29		Gagadu
language	gbv							2009-07-29		Gbanu
language	gbw							2013-09-10		Gabi-Gabi
language	gbx							2009-07-29		Eastern Xwla Gbe
language	gby							2009-07-29		Gbari
language	gbz							2009-07-29		Zoroastrian Dari
language	gcc							2009-07-29		Mali
language	gcd							2009-07-29		Ganggalida
language	gce							2009-07-29		Galice
language	gcf							2009-07-29		Guadeloupean Creole French
language	gcl							2009-07-29		Grenadian Creole English
language	gcn							2009-07-29		Gaina
language	gcr							2009-07-29		Guianese Creole French
language	gct							2009-07-29		Colonia Tovar German
language	gd							2005-10-16		Scottish Gaelic | Gaelic
language	gda				raj			2009-07-29		Gade Lohar
language	gdb							2009-07-29		Pottangi Ollar Gadaba
language	gdc							2009-07-29		Gugu Badhun
language	gdd							2009-07-29		Gedaged
language	gde							2009-07-29		Gude
language	gdf							2009-07-29		Guduf-Gava
language	gdg							2009-07-29		Ga'dang
language	gdh							2009-07-29		Gadjerawang | Gajirrabeng
language	gdi							2009-07-29		Gundi
language	gdj							2009-07-29		Gurdjar
language	gdk							2009-07-29		Gadang
language	gdl							2009-07-29		Dirasha
language	gdm							2009-07-29		Laal
language	gdn							2009-07-29		Umanakaina
language	gdo							2009-07-29		Ghodoberi
language	gdq							2009-07-29		Mehri
language	gdr							2009-07-29		Wipi
language	gds							2012-08-12		Ghandruk Sign Language
language	gdt							2013-09-10		Kungardutyi
language	gdu							2009-07-29		Gudu
language	gdx							2009-07-29		Godwari
language	gea							2009-07-29		Geruma
language	geb							2009-07-29		Kire
language	gec				grb			2009-07-29		Gboloo Grebo
language	ged							2009-07-29		Gade
language	gef							2020-03-28		Gerai
language	geg							2009-07-29		Gengle
language	geh							2009-07-29		Hutterite German | Hutterisch
language	gei							2009-07-29		Gebe
language	gej							2009-07-29		Gen
language	gek							2009-07-29		Ywom
language	gel							2009-07-29		ut-Ma'in
language	gem					collection		2005-10-16		Germanic languages
language	geq							2009-07-29		Geme
language	ges							2009-07-29		Geser-Gorom
language	gev							2014-02-28		Eviya
language	gew							2009-07-29		Gera
language	gex							2009-07-29		Garre
language	gey							2009-07-29		Enya
language	gez							2005-10-16		Geez
language	gfk							2009-07-29		Patpatar
language	gft							2009-07-29		Gafat
language	gfx		vaj				2015-02-12	2012-08-12		Mangetti Dune ǃXung
language	gga							2009-07-29		Gao
language	ggb							2009-07-29		Gbii
language	ggd							2009-07-29		Gugadj
language	gge							2009-07-29		Gurr-goni
language	ggg							2009-07-29		Gurgula
language	ggk							2009-07-29		Kungarakany
language	ggl							2009-07-29		Ganglau
language	ggn		gvr				2016-05-30	2009-07-29		Eastern Gurung
language	ggo						2016-05-30	2009-07-29		Southern Gondi
language	ggr						2013-09-10	2009-07-29		Aghu Tharnggalu
language	ggt							2009-07-29		Gitua
language	ggu							2009-07-29		Gagu | Gban
language	ggw							2009-07-29		Gogodala
language	gha							2009-07-29		Ghadamès
language	ghc							2009-07-29		Hiberno-Scottish Gaelic
language	ghe							2009-07-29		Southern Ghale
language	ghh							2009-07-29		Northern Ghale
language	ghk							2009-07-29		Geko Karen
language	ghl							2009-07-29		Ghulfan
language	ghn							2009-07-29		Ghanongga
language	gho							2009-07-29		Ghomara
language	ghr							2009-07-29		Ghera
language	ghs							2009-07-29		Guhu-Samane
language	ght							2009-07-29		Kuke | Kutang Ghale
language	gia							2009-07-29		Kija
language	gib							2009-07-29		Gibanawa
language	gic							2009-07-29		Gail
language	gid							2009-07-29		Gidar
language	gie							2017-02-23		Gaɓogbo | Guébie
language	gig							2009-07-29		Goaria
language	gih							2013-09-10		Githabul
language	gii							2021-02-20		Girirra
language	gil							2005-10-16		Gilbertese
language	gim							2009-07-29		Gimi (Eastern Highlands)
language	gin							2009-07-29		Hinukh
language	gio						2012-08-12	2009-07-29		Gelao
language	gip							2009-07-29		Gimi (West New Britain)
language	giq							2009-07-29		Green Gelao
language	gir							2009-07-29		Red Gelao
language	gis							2009-07-29		North Giziga
language	git							2009-07-29		Gitxsan
language	giu							2012-08-12		Mulao
language	giw							2009-07-29		White Gelao
language	gix							2009-07-29		Gilima
language	giy							2009-07-29		Giyug
language	giz							2009-07-29		South Giziga
language	gji						2021-02-20	2009-07-29		Geji
language	gjk							2009-07-29		Kachi Koli
language	gjm							2013-09-10		Gunditjmara
language	gjn							2009-07-29		Gonja
language	gjr							2016-05-30		Gurindji Kriol
language	gju				raj			2009-07-29		Gujari
language	gka							2009-07-29		Guya
language	gkd							2018-03-08		Magɨ (Madang Province)
language	gke							2009-07-29		Ndai
language	gkn							2009-07-29		Gokana
language	gko							2012-08-12		Kok-Nar
language	gkp				kpe			2009-07-29		Guinea Kpelle
language	gku							2015-02-12		ǂUngkue
language	gl			Latn				2005-10-16		Galician
language	glb							2021-02-20		Belning
language	glc							2009-07-29		Bon Gula
language	gld							2009-07-29		Nanai
language	glh							2009-07-29		Northwest Pashai | Northwest Pashayi
language	gli		kzk				2020-03-28	2009-07-29		Guliguli
language	glj							2009-07-29		Gula Iro
language	glk							2009-07-29		Gilaki
language	gll							2013-09-10		Garlali
language	glo							2009-07-29		Galambu
language	glr							2009-07-29		Glaro-Twabo
language	glu							2009-07-29		Gula (Chad)
language	glw							2009-07-29		Glavda
language	gly							2009-07-29		Gule
language	gma							2009-07-29		Gambera
language	gmb							2009-07-29		Gula'alaa
language	gmd							2009-07-29		Mághdì
language	gme					collection		2009-07-29		East Germanic languages
language	gmg							2014-02-28		Magɨyi
language	gmh							2005-10-16		Middle High German (ca. 1050-1500)
language	gml							2009-07-29		Middle Low German
language	gmm				gba			2009-07-29		Gbaya-Mbodomo
language	gmn							2009-07-29		Gimnime
language	gmq					collection		2009-07-29		North Germanic languages
language	gmr							2020-03-28		Mirning | Mirniny
language	gmu							2009-07-29		Gumalu
language	gmv							2009-07-29		Gamo
language	gmw					collection		2009-07-29		West Germanic languages
language	gmx							2009-07-29		Magoma
language	gmy							2009-07-29		Mycenaean Greek
language	gmz							2013-09-10		Mgbolizhia
language	gn			Latn		macrolanguage		2005-10-16		Guarani
language	gna							2009-07-29		Kaansa
language	gnb							2009-07-29		Gangte
language	gnc							2009-07-29		Guanche
language	gnd							2009-07-29		Zulgo-Gemzek
language	gne							2009-07-29		Ganang
language	gng							2009-07-29		Ngangam
language	gnh							2009-07-29		Lere
language	gni							2009-07-29		Gooniyandi
language	gnj							2018-03-08		Ngen
language	gnk							2009-07-29		ǁGana
language	gnl							2009-07-29		Gangulu
language	gnm							2009-07-29		Ginuman
language	gnn							2009-07-29		Gumatj
language	gno				gon			2009-07-29		Northern Gondi
language	gnq							2009-07-29		Gana
language	gnr							2009-07-29		Gureng Gureng
language	gnt							2009-07-29		Guntai
language	gnu							2009-07-29		Gnau
language	gnw				gn			2009-07-29		Western Bolivian Guaraní
language	gnz							2009-07-29		Ganzi
language	goa							2009-07-29		Guro
language	gob							2009-07-29		Playero
language	goc							2009-07-29		Gorakor
language	god							2009-07-29		Godié
language	goe							2009-07-29		Gongduk
language	gof							2009-07-29		Gofa
language	gog							2009-07-29		Gogo
language	goh							2005-10-16		Old High German (ca. 750-1050)
language	goi							2009-07-29		Gobasi
language	goj							2009-07-29		Gowlan
language	gok							2009-07-29		Gowli
language	gol							2009-07-29		Gola
language	gom				kok			2009-07-29		Goan Konkani
language	gon					macrolanguage		2005-10-16		Gondi
language	goo							2009-07-29		Gone Dau
language	gop							2009-07-29		Yeretuar
language	goq							2009-07-29		Gorap
language	gor							2005-10-16		Gorontalo
language	gos							2009-07-29		Gronings
language	got							2005-10-16		Gothic
language	gou							2009-07-29		Gavar
language	gov							2022-02-25		Goo
language	gow							2009-07-29		Gorowa
language	gox							2009-07-29		Gobu
language	goy							2009-07-29		Goundo
